"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - Consumption by households","2005","Kilowatt-hours, million","24301",""
"Argentina","Electricity - Consumption by households","2004","Kilowatt-hours, million","22510",""
"Argentina","Electricity - Consumption by households","2003","Kilowatt-hours, million","21573",""
"Argentina","Electricity - Consumption by households","2002","Kilowatt-hours, million","21242",""
"Argentina","Electricity - Consumption by households","2001","Kilowatt-hours, million","22114",""
"Argentina","Electricity - Consumption by households","2000","Kilowatt-hours, million","21493",""
"Armenia","Electricity - Consumption by households","2014","Kilowatt-hours, million","2008",""
"Armenia","Electricity - Consumption by households","2013","Kilowatt-hours, million","2029",""
"Armenia","Electricity - Consumption by households","2012","Kilowatt-hours, million","1990",""
"Armenia","Electricity - Consumption by households","2011","Kilowatt-hours, million","1913",""
"Armenia","Electricity - Consumption by households","2010","Kilowatt-hours, million","1749",""
"Armenia","Electricity - Consumption by households","2009","Kilowatt-hours, million","1717",""
"Armenia","Electricity - Consumption by households","2008","Kilowatt-hours, million","1792",""
"Armenia","Electricity - Consumption by households","2007","Kilowatt-hours, million","1767",""
"Armenia","Electricity - Consumption by households","2006","Kilowatt-hours, million","1708",""
"Armenia","Electricity - Consumption by households","2005","Kilowatt-hours, million","1691",""
"Armenia","Electricity - Consumption by households","2004","Kilowatt-hours, million","1644",""
"Armenia","Electricity - Consumption by households","2003","Kilowatt-hours, million","1601",""
"Armenia","Electricity - Consumption by households","2002","Kilowatt-hours, million","1496",""
"Armenia","Electricity - Consumption by households","2001","Kilowatt-hours, million","1477",""
"Armenia","Electricity - Consumption by households","2000","Kilowatt-hours, million","1558",""
"Aruba","Electricity - Consumption by households","2014","Kilowatt-hours, million","289.7","1"
"Aruba","Electricity - Consumption by households","2013","Kilowatt-hours, million","289.9","1"
"Aruba","Electricity - Consumption by households","2012","Kilowatt-hours, million","285","1"
"Aruba","Electricity - Consumption by households","2011","Kilowatt-hours, million","283","1"
"Aruba","Electricity - Consumption by households","2010","Kilowatt-hours, million","293","1"
"Aruba","Electricity - Consumption by households","2009","Kilowatt-hours, million","284","1"
"Aruba","Electricity - Consumption by households","2008","Kilowatt-hours, million","278.2",""
"Aruba","Electricity - Consumption by households","2007","Kilowatt-hours, million","292.3",""
"Aruba","Electricity - Consumption by households","2006","Kilowatt-hours, million","292.5",""
"Aruba","Electricity - Consumption by households","2005","Kilowatt-hours, million","298.5",""
"Aruba","Electricity - Consumption by households","2004","Kilowatt-hours, million","282.3",""
"Aruba","Electricity - Consumption by households","2003","Kilowatt-hours, million","270.2",""
"Aruba","Electricity - Consumption by households","2002","Kilowatt-hours, million","260","1"
"Aruba","Electricity - Consumption by households","2001","Kilowatt-hours, million","270","1"
"Aruba","Electricity - Consumption by households","2000","Kilowatt-hours, million","250","1"
"Australia","Electricity - Consumption by households","2014","Kilowatt-hours, million","58031",""
"Australia","Electricity - Consumption by households","2013","Kilowatt-hours, million","60538",""
"Australia","Electricity - Consumption by households","2012","Kilowatt-hours, million","61472",""
"Australia","Electricity - Consumption by households","2011","Kilowatt-hours, million","62537",""
"Australia","Electricity - Consumption by households","2010","Kilowatt-hours, million","60656",""
"Australia","Electricity - Consumption by households","2009","Kilowatt-hours, million","60059",""
"Australia","Electricity - Consumption by households","2008","Kilowatt-hours, million","58088",""
"Australia","Electricity - Consumption by households","2007","Kilowatt-hours, million","57381",""
"Australia","Electricity - Consumption by households","2006","Kilowatt-hours, million","55673",""
"Australia","Electricity - Consumption by households","2005","Kilowatt-hours, million","54844",""
"Australia","Electricity - Consumption by households","2004","Kilowatt-hours, million","55522",""
"Australia","Electricity - Consumption by households","2003","Kilowatt-hours, million","53458",""
"Australia","Electricity - Consumption by households","2002","Kilowatt-hours, million","51250",""
"Australia","Electricity - Consumption by households","2001","Kilowatt-hours, million","49597",""
"Australia","Electricity - Consumption by households","2000","Kilowatt-hours, million","48764",""
"Austria","Electricity - Consumption by households","2014","Kilowatt-hours, million","17439",""
"Austria","Electricity - Consumption by households","2013","Kilowatt-hours, million","17319",""
"Austria","Electricity - Consumption by households","2012","Kilowatt-hours, million","18123",""
"Austria","Electricity - Consumption by households","2011","Kilowatt-hours, million","17896",""
"Austria","Electricity - Consumption by households","2010","Kilowatt-hours, million","18296",""
"Austria","Electricity - Consumption by households","2009","Kilowatt-hours, million","17786",""
"Austria","Electricity - Consumption by households","2008","Kilowatt-hours, million","17543",""
"Austria","Electricity - Consumption by households","2007","Kilowatt-hours, million","17301",""
"Austria","Electricity - Consumption by households","2006","Kilowatt-hours, million","17471",""
"Austria","Electricity - Consumption by households","2005","Kilowatt-hours, million","17489",""
"Austria","Electricity - Consumption by households","2004","Kilowatt-hours, million","17119",""
"Austria","Electricity - Consumption by households","2003","Kilowatt-hours, million","17275",""
"Austria","Electricity - Consumption by households","2002","Kilowatt-hours, million","16730",""
"Austria","Electricity - Consumption by households","2001","Kilowatt-hours, million","16209",""
"Austria","Electricity - Consumption by households","2000","Kilowatt-hours, million","14962",""
"Azerbaijan","Electricity - Consumption by households","2014","Kilowatt-hours, million","7292",""
"Azerbaijan","Electricity - Consumption by households","2013","Kilowatt-hours, million","6716",""
"Azerbaijan","Electricity - Consumption by households","2012","Kilowatt-hours, million","6501",""
"Azerbaijan","Electricity - Consumption by households","2011","Kilowatt-hours, million","5917",""
"Azerbaijan","Electricity - Consumption by households","2010","Kilowatt-hours, million","5755",""
"Azerbaijan","Electricity - Consumption by households","2009","Kilowatt-hours, million","5847",""
"Azerbaijan","Electricity - Consumption by households","2008","Kilowatt-hours, million","7444",""
"Azerbaijan","Electricity - Consumption by households","2007","Kilowatt-hours, million","8334",""
"Azerbaijan","Electricity - Consumption by households","2006","Kilowatt-hours, million","13795",""
"Azerbaijan","Electricity - Consumption by households","2005","Kilowatt-hours, million","12253",""
"Azerbaijan","Electricity - Consumption by households","2004","Kilowatt-hours, million","11904",""
"Azerbaijan","Electricity - Consumption by households","2003","Kilowatt-hours, million","12079",""
"Azerbaijan","Electricity - Consumption by households","2002","Kilowatt-hours, million","10407",""
"Azerbaijan","Electricity - Consumption by households","2001","Kilowatt-hours, million","10172",""
"Azerbaijan","Electricity - Consumption by households","2000","Kilowatt-hours, million","9902",""
"Bahamas","Electricity - Consumption by households","2014","Kilowatt-hours, million","794",""
"Bahamas","Electricity - Consumption by households","2013","Kilowatt-hours, million","665",""
"Bahamas","Electricity - Consumption by households","2012","Kilowatt-hours, million","535",""
"Bahamas","Electricity - Consumption by households","2011","Kilowatt-hours, million","536",""
"Bahamas","Electricity - Consumption by households","2010","Kilowatt-hours, million","551.5",""
"Bahamas","Electricity - Consumption by households","2009","Kilowatt-hours, million","788",""
"Bahamas","Electricity - Consumption by households","2008","Kilowatt-hours, million","847",""
"Bahamas","Electricity - Consumption by households","2007","Kilowatt-hours, million","852",""
"Bahamas","Electricity - Consumption by households","2006","Kilowatt-hours, million","817",""
"Bahamas","Electricity - Consumption by households","2005","Kilowatt-hours, million","886",""
"Bahamas","Electricity - Consumption by households","2004","Kilowatt-hours, million","779",""
"Bahamas","Electricity - Consumption by households","2003","Kilowatt-hours, million","786",""
"Bahamas","Electricity - Consumption by households","2002","Kilowatt-hours, million","726",""
"Bahamas","Electricity - Consumption by households","2001","Kilowatt-hours, million","714",""
"Bahamas","Electricity - Consumption by households","2000","Kilowatt-hours, million","665",""
"Bahrain","Electricity - Consumption by households","2014","Kilowatt-hours, million","6985",""
"Bahrain","Electricity - Consumption by households","2013","Kilowatt-hours, million","6426",""
"Bahrain","Electricity - Consumption by households","2012","Kilowatt-hours, million","6309",""
"Bahrain","Electricity - Consumption by households","2011","Kilowatt-hours, million","5871",""
"Bahrain","Electricity - Consumption by households","2010","Kilowatt-hours, million","5966",""
"Bahrain","Electricity - Consumption by households","2009","Kilowatt-hours, million","5405",""
"Bahrain","Electricity - Consumption by households","2008","Kilowatt-hours, million","5257",""
"Bahrain","Electricity - Consumption by households","2007","Kilowatt-hours, million","5190",""
"Bahrain","Electricity - Consumption by households","2006","Kilowatt-hours, million","5098",""
"Bahrain","Electricity - Consumption by households","2005","Kilowatt-hours, million","4309",""
"Bahrain","Electricity - Consumption by households","2004","Kilowatt-hours, million","3935",""
"Bahrain","Electricity - Consumption by households","2003","Kilowatt-hours, million","3740",""
"Bahrain","Electricity - Consumption by households","2002","Kilowatt-hours, million","3525",""
"Bahrain","Electricity - Consumption by households","2001","Kilowatt-hours, million","3262",""
"Bahrain","Electricity - Consumption by households","2000","Kilowatt-hours, million","3082",""
"Bangladesh","Electricity - Consumption by households","2014","Kilowatt-hours, million","17191",""
"Bangladesh","Electricity - Consumption by households","2013","Kilowatt-hours, million","14263",""
"Bangladesh","Electricity - Consumption by households","2012","Kilowatt-hours, million","13287",""
"Bangladesh","Electricity - Consumption by households","2011","Kilowatt-hours, million","11777",""
"Bangladesh","Electricity - Consumption by households","2010","Kilowatt-hours, million","11050",""
"Bangladesh","Electricity - Consumption by households","2009","Kilowatt-hours, million","9778",""
"Bangladesh","Electricity - Consumption by households","2008","Kilowatt-hours, million","9005",""
"Bangladesh","Electricity - Consumption by households","2007","Kilowatt-hours, million","9410",""
"Bangladesh","Electricity - Consumption by households","2006","Kilowatt-hours, million","9313",""
"Bangladesh","Electricity - Consumption by households","2005","Kilowatt-hours, million","8529",""
"Bangladesh","Electricity - Consumption by households","2004","Kilowatt-hours, million","8010",""
"Bangladesh","Electricity - Consumption by households","2003","Kilowatt-hours, million","7258",""
"Bangladesh","Electricity - Consumption by households","2002","Kilowatt-hours, million","6774",""
"Bangladesh","Electricity - Consumption by households","2001","Kilowatt-hours, million","6186",""
"Bangladesh","Electricity - Consumption by households","2000","Kilowatt-hours, million","5502",""
"Barbados","Electricity - Consumption by households","2014","Kilowatt-hours, million","300.72",""
"Barbados","Electricity - Consumption by households","2013","Kilowatt-hours, million","301.77",""
"Barbados","Electricity - Consumption by households","2012","Kilowatt-hours, million","300.61",""
"Barbados","Electricity - Consumption by households","2011","Kilowatt-hours, million","301.48",""
"Barbados","Electricity - Consumption by households","2010","Kilowatt-hours, million","308.37",""
"Barbados","Electricity - Consumption by households","2009","Kilowatt-hours, million","306.56",""
"Barbados","Electricity - Consumption by households","2008","Kilowatt-hours, million","299.89",""
"Barbados","Electricity - Consumption by households","2007","Kilowatt-hours, million","300.02",""
"Barbados","Electricity - Consumption by households","2006","Kilowatt-hours, million","281.38",""
"Barbados","Electricity - Consumption by households","2005","Kilowatt-hours, million","276",""
"Barbados","Electricity - Consumption by households","2004","Kilowatt-hours, million","265.64",""
"Barbados","Electricity - Consumption by households","2003","Kilowatt-hours, million","258.4",""
"Barbados","Electricity - Consumption by households","2002","Kilowatt-hours, million","256",""
"Barbados","Electricity - Consumption by households","2001","Kilowatt-hours, million","243",""
"Barbados","Electricity - Consumption by households","2000","Kilowatt-hours, million","467",""
"Belarus","Electricity - Consumption by households","2014","Kilowatt-hours, million","6397",""
"Belarus","Electricity - Consumption by households","2013","Kilowatt-hours, million","6386",""
"Belarus","Electricity - Consumption by households","2012","Kilowatt-hours, million","6330",""
"Belarus","Electricity - Consumption by households","2011","Kilowatt-hours, million","6109",""
"Belarus","Electricity - Consumption by households","2010","Kilowatt-hours, million","6865",""
"Belarus","Electricity - Consumption by households","2009","Kilowatt-hours, million","6466",""
"Belarus","Electricity - Consumption by households","2008","Kilowatt-hours, million","6325",""
"Belarus","Electricity - Consumption by households","2007","Kilowatt-hours, million","6009",""
"Belarus","Electricity - Consumption by households","2006","Kilowatt-hours, million","5738",""
"Belarus","Electricity - Consumption by households","2005","Kilowatt-hours, million","5959",""
"Belarus","Electricity - Consumption by households","2004","Kilowatt-hours, million","6052",""
"Belarus","Electricity - Consumption by households","2003","Kilowatt-hours, million","6058",""
"Belarus","Electricity - Consumption by households","2002","Kilowatt-hours, million","5778",""
"Belarus","Electricity - Consumption by households","2001","Kilowatt-hours, million","5576",""
"Belarus","Electricity - Consumption by households","2000","Kilowatt-hours, million","5565",""
"Belgium","Electricity - Consumption by households","2014","Kilowatt-hours, million","18942",""
"Belgium","Electricity - Consumption by households","2013","Kilowatt-hours, million","19814",""
"Belgium","Electricity - Consumption by households","2012","Kilowatt-hours, million","19848",""
"Belgium","Electricity - Consumption by households","2011","Kilowatt-hours, million","19257",""
"Belgium","Electricity - Consumption by households","2010","Kilowatt-hours, million","20276",""
"Belgium","Electricity - Consumption by households","2009","Kilowatt-hours, million","20210",""
"Belgium","Electricity - Consumption by households","2008","Kilowatt-hours, million","19982",""
"Belgium","Electricity - Consumption by households","2007","Kilowatt-hours, million","21856",""
"Belgium","Electricity - Consumption by households","2006","Kilowatt-hours, million","22722",""
"Belgium","Electricity - Consumption by households","2005","Kilowatt-hours, million","26007",""
"Belgium","Electricity - Consumption by households","2004","Kilowatt-hours, million","26543",""
"Belgium","Electricity - Consumption by households","2003","Kilowatt-hours, million","26026",""
"Belgium","Electricity - Consumption by households","2002","Kilowatt-hours, million","25921",""
"Belgium","Electricity - Consumption by households","2001","Kilowatt-hours, million","24396",""
"Belgium","Electricity - Consumption by households","2000","Kilowatt-hours, million","23738",""
"Belize","Electricity - Consumption by households","2014","Kilowatt-hours, million","264.036111111111",""
"Belize","Electricity - Consumption by households","2013","Kilowatt-hours, million","258.244167",""
"Belize","Electricity - Consumption by households","2012","Kilowatt-hours, million","252.579167",""
"Belize","Electricity - Consumption by households","2011","Kilowatt-hours, million","247.038333",""
"Belize","Electricity - Consumption by households","2010","Kilowatt-hours, million","241.784444",""
"Belize","Electricity - Consumption by households","2009","Kilowatt-hours, million","234.604167",""
"Belize","Electricity - Consumption by households","2008","Kilowatt-hours, million","224",""
"Belize","Electricity - Consumption by households","2007","Kilowatt-hours, million","214",""
"Belize","Electricity - Consumption by households","2006","Kilowatt-hours, million","203",""
"Belize","Electricity - Consumption by households","2005","Kilowatt-hours, million","202",""
"Belize","Electricity - Consumption by households","2004","Kilowatt-hours, million","189",""
"Belize","Electricity - Consumption by households","2003","Kilowatt-hours, million","175",""
"Belize","Electricity - Consumption by households","2002","Kilowatt-hours, million","159",""
"Belize","Electricity - Consumption by households","2001","Kilowatt-hours, million","119",""
"Belize","Electricity - Consumption by households","2000","Kilowatt-hours, million","102",""
"Benin","Electricity - Consumption by households","2014","Kilowatt-hours, million","444",""
"Benin","Electricity - Consumption by households","2013","Kilowatt-hours, million","417",""
"Benin","Electricity - Consumption by households","2012","Kilowatt-hours, million","390",""
"Benin","Electricity - Consumption by households","2011","Kilowatt-hours, million","373",""
"Benin","Electricity - Consumption by households","2010","Kilowatt-hours, million","362",""
"Benin","Electricity - Consumption by households","2009","Kilowatt-hours, million","338",""
"Benin","Electricity - Consumption by households","2008","Kilowatt-hours, million","324",""
"Benin","Electricity - Consumption by households","2007","Kilowatt-hours, million","287",""
"Benin","Electricity - Consumption by households","2006","Kilowatt-hours, million","273",""
"Benin","Electricity - Consumption by households","2005","Kilowatt-hours, million","282",""
"Benin","Electricity - Consumption by households","2004","Kilowatt-hours, million","225",""
"Benin","Electricity - Consumption by households","2003","Kilowatt-hours, million","206",""
"Benin","Electricity - Consumption by households","2002","Kilowatt-hours, million","236",""
"Benin","Electricity - Consumption by households","2001","Kilowatt-hours, million","173",""
"Benin","Electricity - Consumption by households","2000","Kilowatt-hours, million","161",""
"Bermuda","Electricity - Consumption by households","2014","Kilowatt-hours, million","236",""
"Bermuda","Electricity - Consumption by households","2013","Kilowatt-hours, million","244",""
"Bermuda","Electricity - Consumption by households","2012","Kilowatt-hours, million","250",""
"Bermuda","Electricity - Consumption by households","2011","Kilowatt-hours, million","265",""
"Bermuda","Electricity - Consumption by households","2010","Kilowatt-hours, million","277",""
"Bermuda","Electricity - Consumption by households","2009","Kilowatt-hours, million","272",""
"Bermuda","Electricity - Consumption by households","2008","Kilowatt-hours, million","269",""
"Bermuda","Electricity - Consumption by households","2007","Kilowatt-hours, million","276",""
"Bermuda","Electricity - Consumption by households","2006","Kilowatt-hours, million","271",""
"Bermuda","Electricity - Consumption by households","2005","Kilowatt-hours, million","269",""
"Bermuda","Electricity - Consumption by households","2004","Kilowatt-hours, million","258",""
"Bermuda","Electricity - Consumption by households","2003","Kilowatt-hours, million","252",""
"Bermuda","Electricity - Consumption by households","2002","Kilowatt-hours, million","242",""
"Bermuda","Electricity - Consumption by households","2001","Kilowatt-hours, million","238","1"
"Bermuda","Electricity - Consumption by households","2000","Kilowatt-hours, million","227","1"
"Bhutan","Electricity - Consumption by households","2014","Kilowatt-hours, million","210.96",""
"Bhutan","Electricity - Consumption by households","2013","Kilowatt-hours, million","193.07",""
"Bhutan","Electricity - Consumption by households","2012","Kilowatt-hours, million","182.09",""
"Bhutan","Electricity - Consumption by households","2011","Kilowatt-hours, million","160.13",""
"Bhutan","Electricity - Consumption by households","2010","Kilowatt-hours, million","154.47",""
"Bhutan","Electricity - Consumption by households","2009","Kilowatt-hours, million","147.85",""
"Bhutan","Electricity - Consumption by households","2008","Kilowatt-hours, million","137.1",""
"Bhutan","Electricity - Consumption by households","2007","Kilowatt-hours, million","127.76",""
"Bhutan","Electricity - Consumption by households","2006","Kilowatt-hours, million","114.08",""
"Bhutan","Electricity - Consumption by households","2005","Kilowatt-hours, million","97.51",""
"Bhutan","Electricity - Consumption by households","2004","Kilowatt-hours, million","90.58",""
"Bhutan","Electricity - Consumption by households","2003","Kilowatt-hours, million","77",""
"Bhutan","Electricity - Consumption by households","2002","Kilowatt-hours, million","72",""
"Bhutan","Electricity - Consumption by households","2001","Kilowatt-hours, million","64",""
"Bhutan","Electricity - Consumption by households","2000","Kilowatt-hours, million","30","1"
