"Country or Area","Year","Value","Value Footnotes"
"Belgium","2007","471821790309.335",""
"Belgium","2006","409813072387.404",""
"Belgium","2005","387365999253.824",""
"Belgium","2004","370885274397.815",""
"Belgium","2003","319003386004.515",""
"Belgium","2002","258860342555.995",""
"Belgium","2001","237841610738.255",""
"Belgium","2000","237904919845.218",""
"Belize","2014","1717861750",""
"Belize","2013","1625828100",""
"Belize","2012","1573618750",""
"Belize","2011","1486712300",""
"Belize","2010","1397113450",""
"Belize","2009","1336957250",""
"Belize","2008","1368625150",""
"Belize","2007","1290542550",""
"Belize","2006","1217442150",""
"Belize","2005","1114202700",""
"Belize","2004","1057850000",""
"Belize","2003","990350000",""
"Belize","2002","932551850",""
"Belize","2001","871860600",""
"Belize","2000","832072450",""
"Benin","2014","9575356734.7269",""
"Benin","2013","9110800744.87896",""
"Benin","2012","8117100933.52537",""
"Benin","2011","7814081155.64988",""
"Benin","2010","6970240895.49888",""
"Benin","2009","7097198711.61023",""
"Benin","2008","7132787396.66547",""
"Benin","2007","5969535131.58016",""
"Benin","2006","5142380779.44103",""
"Benin","2005","4803702821.08055",""
"Benin","2004","4521424807.22519",""
"Benin","2003","3905366187.87017",""
"Benin","2002","3054571081.6912",""
"Benin","2001","2680213931.46472",""
"Benin","2000","2569186642.86999",""
"Bermuda","2013","5573710000",""
"Bermuda","2012","5537537000",""
"Bermuda","2011","5550771000",""
"Bermuda","2010","5744414000",""
"Bermuda","2009","5806378000",""
"Bermuda","2008","6109928000",""
"Bermuda","2007","5895048000",""
"Bermuda","2006","5414299000",""
"Bermuda","2005","4868136000",""
"Bermuda","2004","4484703000",""
"Bermuda","2003","4186525000",""
"Bermuda","2002","3937228000",""
"Bermuda","2001","3680483000",""
"Bermuda","2000","3480219000",""
"Bhutan","2014","1958819914.95916",""
"Bhutan","2013","1798333725.83954",""
"Bhutan","2012","1823692109.61652",""
"Bhutan","2011","1820207625.80217",""
"Bhutan","2010","1585472534.10547",""
"Bhutan","2009","1264758197.96593",""
"Bhutan","2008","1258332337.28382",""
"Bhutan","2007","1196091805.02316",""
"Bhutan","2006","897731524.929922",""
"Bhutan","2005","818869145.124717",""
"Bhutan","2004","702682018.976169",""
"Bhutan","2003","622026107.771576",""
"Bhutan","2002","537050133.717342",""
"Bhutan","2001","476360697.181606",""
"Bhutan","2000","439158233.199822",""
"Bolivia","2014","32996187988.4226",""
"Bolivia","2013","30659338929.0883",""
"Bolivia","2012","27084497539.7974",""
"Bolivia","2011","23963033443.8518",""
"Bolivia","2010","19649631308.1648",""
"Bolivia","2009","17339992165.2422",""
"Bolivia","2008","16674324634.2373",""
"Bolivia","2007","13120183156.7149",""
"Bolivia","2006","11451869164.7112",""
"Bolivia","2005","9549077869.10651",""
"Bolivia","2004","8773451738.91129",""
"Bolivia","2003","8082364868.39357",""
"Bolivia","2002","7905485216.17852",""
"Bolivia","2001","8141537937.61068",""
"Bolivia","2000","8397912509.09679",""
"Bosnia and Herzegovina","2014","18521476054.8094",""
"Bosnia and Herzegovina","2013","18154290272.2151",""
"Bosnia and Herzegovina","2012","17207367625.8048",""
"Bosnia and Herzegovina","2011","18628022743.4257",""
"Bosnia and Herzegovina","2010","17163117551.4626",""
"Bosnia and Herzegovina","2009","17600630726.6141",""
"Bosnia and Herzegovina","2008","19101454463.7507",""
"Bosnia and Herzegovina","2007","15776422673.198",""
"Bosnia and Herzegovina","2006","12866524918.2221",""
"Bosnia and Herzegovina","2005","11225138297.1959",""
"Bosnia and Herzegovina","2004","10022840634.9206",""
"Bosnia and Herzegovina","2003","8370020196.19158",""
"Bosnia and Herzegovina","2002","6651226179.01829",""
"Bosnia and Herzegovina","2001","5748990666.17862",""
"Bosnia and Herzegovina","2000","5505984455.95855",""
"Botswana","2014","15880195735.2892",""
"Botswana","2013","14814801573.1141",""
"Botswana","2012","14686249032.0379",""
"Botswana","2011","15682931970.4016",""
"Botswana","2010","12786662034.8563",""
"Botswana","2009","10267128733.351",""
"Botswana","2008","10945070441.9283",""
"Botswana","2007","10939053365.4786",""
"Botswana","2006","10126940513.3125",""
"Botswana","2005","9931134940.51346",""
"Botswana","2004","8957467706.5354",""
"Botswana","2003","7511582173.37724",""
"Botswana","2002","5438857106.73536",""
"Botswana","2001","5489608299.66445",""
"Botswana","2000","5788329609.15755",""
"Brazil","2014","2417046323841.9",""
"Brazil","2013","2465773850934.56",""
"Brazil","2012","2460658440428.04",""
"Brazil","2011","2614573170731.71",""
"Brazil","2010","2208872214643.02",""
"Brazil","2009","1667020106031.81",""
"Brazil","2008","1695824517395.57",""
"Brazil","2007","1397084381901.29",""
"Brazil","2006","1107640325472.35",""
"Brazil","2005","891629970423.924",""
"Brazil","2004","669316239316.239",""
"Brazil","2003","558320116997.075",""
"Brazil","2002","507962741819.919",""
"Brazil","2001","559372502338.237",""
"Brazil","2000","655421153320.579",""
"Brunei Darussalam","2014","17104656669.2976",""
"Brunei Darussalam","2013","16110693734.0153",""
"Brunei Darussalam","2012","16953505121.6389",""
"Brunei Darussalam","2011","16691533190.2377",""
"Brunei Darussalam","2010","12370616061.6062",""
"Brunei Darussalam","2009","10732366286.2643",""
"Brunei Darussalam","2008","14393099068.5859",""
"Brunei Darussalam","2007","12247694247.2298",""
"Brunei Darussalam","2006","11470703002.0769",""
"Brunei Darussalam","2005","9531402847.87311",""
"Brunei Darussalam","2004","7872333215.00414",""
"Brunei Darussalam","2003","6557333084.60567",""
"Brunei Darussalam","2002","5843329107.56171",""
"Brunei Darussalam","2001","5601090584.36122",""
"Brunei Darussalam","2000","6001153306.2645",""
"Bulgaria","2014","56717054673.7214",""
"Bulgaria","2013","55626359256.2432",""
"Bulgaria","2012","53576670827.8581",""
"Bulgaria","2011","56949835051.5464",""
"Bulgaria","2010","49939168133.207",""
"Bulgaria","2009","51783454183.5501",""
"Bulgaria","2008","54666642734.2757",""
"Bulgaria","2007","44765733379.986",""
"Bulgaria","2006","34304448149.8108",""
"Bulgaria","2005","29821662537.3229",""
"Bulgaria","2004","26094622563.6468",""
"Bulgaria","2003","21074775206.3254",""
"Bulgaria","2002","16360346653.8276",""
"Bulgaria","2001","14135393875.5893",""
"Bulgaria","2000","13148099185.2305",""
"Burkina Faso","2014","12549126616.147",""
"Burkina Faso","2013","12114166020.7244",""
"Burkina Faso","2012","11166061507.8024",""
"Burkina Faso","2011","10724061338.5874",""
"Burkina Faso","2010","8979966766.07232",""
"Burkina Faso","2009","8369175126.25316",""
"Burkina Faso","2008","8369637065.40255",""
"Burkina Faso","2007","6771277870.96412",""
"Burkina Faso","2006","5844669845.53733",""
"Burkina Faso","2005","5462709498.45119",""
"Burkina Faso","2004","4838551099.70985",""
"Burkina Faso","2003","4205691222.11396",""
"Burkina Faso","2002","3205592289.79773",""
"Burkina Faso","2001","2812845513.57125",""
"Burkina Faso","2000","2632700362.73684",""
"Burundi","2014","3093647226.8107",""
"Burundi","2013","2714505634.52629",""
"Burundi","2012","2472384906.99794",""
"Burundi","2011","2355652125.85184",""
"Burundi","2010","2026864469.36388",""
"Burundi","2009","1739781488.7457",""
"Burundi","2008","1611634331.64869",""
"Burundi","2007","1356078278.18821",""
"Burundi","2006","1273180597.02711",""
"Burundi","2005","1117257279.46188",""
"Burundi","2004","915257323.3961",""
"Burundi","2003","784654423.620476",""
"Burundi","2002","825394490.159111",""
"Burundi","2001","876794723.068586",""
"Burundi","2000","870486065.883137",""
"Cambodia","2014","16777820332.7059",""
"Cambodia","2013","15449630418.5486",""
"Cambodia","2012","14038383450.186",""
"Cambodia","2011","12829541141.0127",""
"Cambodia","2010","11242275198.9783",""
"Cambodia","2009","10401851850.6108",""
"Cambodia","2008","10351914093.1723",""
"Cambodia","2007","8639235842.18075",""
"Cambodia","2006","7274595706.67154",""
"Cambodia","2005","6293046162.12584",""
"Cambodia","2004","5337833255.95698",""
"Cambodia","2003","4658246906.65996",""
"Cambodia","2002","4284028138.34567",""
"Cambodia","2001","3979813387.84404",""
"Cambodia","2000","3654031716.26881",""
"Cameroon","2014","32050817632.9602",""
"Cameroon","2013","29567504655.4935",""
"Cameroon","2012","26472056037.7696",""
"Cameroon","2011","26587311527.5711",""
"Cameroon","2010","23622483983.7101",""
"Cameroon","2009","23381142146.6485",""
"Cameroon","2008","23322254113.5623",""
"Cameroon","2007","20431780377.8605",""
"Cameroon","2006","17953066721.0949",""
"Cameroon","2005","16587858856.6778",""
"Cameroon","2004","15775357014.6254",""
"Cameroon","2003","13621738837.1961",""
"Cameroon","2002","10879778384.1965",""
"Cameroon","2001","9633109349.64535",""
"Cameroon","2000","9287367235.25769",""
"Canada","2014","1783775590895.93",""
"Canada","2013","1837443486716.34",""
"Canada","2012","1824288757447.57",""
"Canada","2011","1788703385548.26",""
"Canada","2010","1613406134731.12",""
"Canada","2009","1371153004986.44",""
"Canada","2008","1549131208997.19",""
"Canada","2007","1464977190205.75",""
"Canada","2006","1315415197461.21",""
"Canada","2005","1169357979864.66",""
"Canada","2004","1023196003074.56",""
"Canada","2003","892380986367.854",""
"Canada","2002","757950678646.53",""
"Canada","2001","736379777892.562",""
"Canada","2000","742293448252.643",""
"Cape Verde","2014","1871187070.99534",""
"Cape Verde","2013","1837908563.30275",""
"Cape Verde","2012","1751888561.72747",""
"Cape Verde","2011","1864824080.69256",""
"Cape Verde","2010","1664310769.55229",""
"Cape Verde","2009","1711817181.52969",""
"Cape Verde","2008","1789333748.6799",""
"Cape Verde","2007","1513933983.22398",""
"Cape Verde","2006","1107891063.43863",""
"Cape Verde","2005","971977088.156914",""
"Cape Verde","2004","924318490.7598",""
"Cape Verde","2003","813963830.179217",""
"Cape Verde","2002","620974660.230303",""
"Cape Verde","2001","563024383.296626",""
"Cape Verde","2000","539227277.626411",""
"Cayman Islands","2006","3207032512.94205",""
"Central African Republic","2014","1691091491.96525",""
"Central African Republic","2013","1494073354.38426",""
"Central African Republic","2012","2184183758.31567",""
"Central African Republic","2011","2212699746.81377",""
"Central African Republic","2010","1986014845.63184",""
"Central African Republic","2009","1981728140.77833",""
"Central African Republic","2008","1985370057.92473",""
"Central African Republic","2007","1698125617.92304",""
"Central African Republic","2006","1460562038.37097",""
"Central African Republic","2005","1350301057.06866",""
"Central African Republic","2004","1270080250.65268",""
"Central African Republic","2003","1139754799.16304",""
"Central African Republic","2002","991387870.12463",""
"Central African Republic","2001","931833302.752857",""
"Central African Republic","2000","914500299.097034",""
"Chad","2014","13922223233.5184",""
"Chad","2013","12949854262.8127",""
"Chad","2012","12368070168.9723",""
"Chad","2011","12156380062.0471",""
"Chad","2010","10657705072.2884",""
"Chad","2009","9253484289.67434",""
"Chad","2008","10351933631.7188",""
"Chad","2007","8638711756.62818",""
"Chad","2006","7422102519.56848",""
"Chad","2005","6646663021.43571",""
"Chad","2004","4414929219.99649",""
"Chad","2003","2736666515.8294",""
"Chad","2002","1987622279.11463",""
"Chad","2001","1709347793.32873",""
"Chad","2000","1385058161.76746",""
"Channel Islands","2007","11514605842.3369",""
"Channel Islands","2006","9676172953.08188",""
"Channel Islands","2005","8827272727.27273",""
"Channel Islands","2004","8553643354.08275",""
"Channel Islands","2003","7332244897.95918",""
"Channel Islands","2002","6663669064.7482",""
"Channel Islands","2001","6232906290.4851",""
"Channel Islands","2000","6439703434.71024",""
"Chile","2014","258733363811.898",""
"Chile","2013","277078709134.861",""
"Chile","2012","265231582123.496",""
"Chile","2011","250832362674.085",""
"Chile","2010","217538271334.738",""
"Chile","2009","171956955710.4",""
"Chile","2008","179626674542.474",""
"Chile","2007","173081277147.793",""
"Chile","2006","154671012210.645",""
"Chile","2005","124404150138.227",""
"Chile","2004","100630707851.787",""
"Chile","2003","77840186384.8713",""
"Chile","2002","70984568428.6004",""
"Chile","2001","72336972322.4242",""
"Chile","2000","79328640263.7676",""
"China","2014","10351111762216.4",""
"China","2013","9490602600148.49",""
"China","2012","8461623162714.07",""
"China","2011","7492432097810.11",""
"China","2010","6039658508485.59",""
"China","2009","5059419738267.41",""
"China","2008","4558431073438.2",""
"China","2007","3523094314820.9",""
"China","2006","2729784031906.09",""
"China","2005","2268598904116.28",""
"China","2004","1941745602165.09",""
"China","2003","1649928718134.59",""
"China","2002","1461906487857.92",""
"China","2001","1332234719889.82",""
"China","2000","1205260678391.96",""
"Colombia","2014","378416020533.715",""
"Colombia","2013","380191881860.372",""
"Colombia","2012","369659700375.52",""
"Colombia","2011","335415156702.186",""
"Colombia","2010","287018184637.529",""
"Colombia","2009","233821670544.258",""
"Colombia","2008","243982437870.84",""
"Colombia","2007","207416494642.379",""
"Colombia","2006","162590146096.414",""
"Colombia","2005","146566266310.57",""
"Colombia","2004","117074865515.279",""
"Colombia","2003","94684582573.3167",""
"Colombia","2002","97933392356.4253",""
"Colombia","2001","98203544965.2678",""
"Colombia","2000","99886577575.5444",""
"Comoros","2014","623751044.541731",""
"Comoros","2013","598925513.203976",""
"Comoros","2012","550476566.060452",""
"Comoros","2011","566024620.528183",""
"Comoros","2010","516962886.786662",""
"Comoros","2009","514788082.336952",""
"Comoros","2008","517477678.55149",""
"Comoros","2007","462453582.873627",""
"Comoros","2006","406111873.539847",""
"Comoros","2005","380372892.606774",""
"Comoros","2004","368143118.68996",""
"Comoros","2003","317562269.371106",""
"Comoros","2002","246737679.472106",""
"Comoros","2001","220093812.206791",""
"Comoros","2000","203846427.782931",""
"Congo, Dem. Rep.","2014","32782281736.2834",""
"Congo, Dem. Rep.","2013","30014813755.772",""
"Congo, Dem. Rep.","2012","27463220380.0054",""
"Congo, Dem. Rep.","2011","23849009737.6669",""
"Congo, Dem. Rep.","2010","20523285374.187",""
"Congo, Dem. Rep.","2009","18262773820.8055",""
"Congo, Dem. Rep.","2008","19206060270.2521",""
"Congo, Dem. Rep.","2007","16364029327.3456",""
"Congo, Dem. Rep.","2006","14296507096.4135",""
"Congo, Dem. Rep.","2005","11964484667.9102",""
"Congo, Dem. Rep.","2004","10297483481.223",""
"Congo, Dem. Rep.","2003","8937567059.87754",""
"Congo, Dem. Rep.","2002","8728038525.14034",""
"Congo, Dem. Rep.","2001","7438189100.33333",""
"Congo, Dem. Rep.","2000","19088046305.7971",""
"Congo, Rep.","2014","14177437627.2969",""
"Congo, Rep.","2013","14085852120.4761",""
"Congo, Rep.","2012","13677930123.5919",""
"Congo, Rep.","2011","14425607224.168",""
"Congo, Rep.","2010","12007880590.4575",""
"Congo, Rep.","2009","9593536531.23778",""
"Congo, Rep.","2008","11859014004.0772",""
"Congo, Rep.","2007","8394688284.06224",""
"Congo, Rep.","2006","7731261310.93322",""
"Congo, Rep.","2005","6087002681.74095",""
"Congo, Rep.","2004","4648628839.53457",""
"Congo, Rep.","2003","3495868724.68452",""
"Congo, Rep.","2002","3019993723.13308",""
"Congo, Rep.","2001","2794259756.13093",""
"Congo, Rep.","2000","3219910666.03357",""
"Costa Rica","2014","49552639049.2446",""
"Costa Rica","2013","49236713603.2245",""
"Costa Rica","2012","45300669857.48",""
"Costa Rica","2011","41237293551.3474",""
"Costa Rica","2010","36298327620.1953",""
"Costa Rica","2009","29382694860.8539",""
"Costa Rica","2008","29837895769.0591",""
"Costa Rica","2007","26322000105.2344",""
"Costa Rica","2006","22526463618.6989",""
"Costa Rica","2005","19964925502.6464",""
"Costa Rica","2004","18596365926.995",""
"Costa Rica","2003","17517536016.3339",""
"Costa Rica","2002","16844378578.178",""
"Costa Rica","2001","16403602943.4123",""
"Costa Rica","2000","15946443103.2804",""
"Cote d'Ivoire","2014","34253607832.4889",""
"Cote d'Ivoire","2013","31292560974.415",""
"Cote d'Ivoire","2012","27040562587.1771",""
"Cote d'Ivoire","2011","25381616734.0693",""
"Cote d'Ivoire","2010","24884505034.5564",""
"Cote d'Ivoire","2009","24277493862.0625",""
"Cote d'Ivoire","2008","24224903099.6283",""
"Cote d'Ivoire","2007","20343635319.6174",""
"Cote d'Ivoire","2006","17800887796.4987",""
"Cote d'Ivoire","2005","17084928927.4555",""
"Cote d'Ivoire","2004","16554441846.5192",""
"Cote d'Ivoire","2003","15306602560.2533",""
"Cote d'Ivoire","2002","12346919216.1359",""
"Cote d'Ivoire","2001","11192560827.2962",""
"Cote d'Ivoire","2000","10717022462.6859",""
"Croatia","2014","57136241867.0192",""
"Croatia","2013","57770884728.6496",""
"Croatia","2012","56485301967.4205",""
"Croatia","2011","62249565358.9878",""
"Croatia","2010","59680624422.3702",""
"Croatia","2009","62703095750.5257",""
"Croatia","2008","70481451814.3118",""
"Croatia","2007","60093155532.7678",""
"Croatia","2006","50453577898.4886",""
"Croatia","2005","45416076680.8707",""
"Croatia","2004","41574530815.5047",""
"Croatia","2003","34658113497.39",""
"Croatia","2002","26878499206.0165",""
"Croatia","2001","23289671102.3197",""
"Croatia","2000","21774273832.1031",""
"Cuba","2013","77149700000",""
"Cuba","2012","73139050000",""
"Cuba","2011","68990140000",""
"Cuba","2010","64328200000",""
"Cuba","2009","62078600000",""
"Cuba","2008","60806300000",""
"Cuba","2007","58603500000",""
"Cuba","2006","52742100000",""
"Cuba","2005","42644200000",""
"Cuba","2004","38202800000",""
"Cuba","2003","35901500000",""
"Cuba","2002","33590400000",""
"Cuba","2001","31683300000",""
"Cuba","2000","30565200000",""
"Cyprus","2014","23227106275.7065",""
"Cyprus","2013","24055947955.3903",""
"Cyprus","2012","24940600822.1062",""
"Cyprus","2011","27089174646.3239",""
"Cyprus","2010","25247424010.9811",""
"Cyprus","2009","25593262400.8645",""
